Parameter,Estimate,StdError
Rs,6.36273724504568e-14,0.181015179828908
Rct1,900000,4766653.89772749
Cdl1,0.000683964228248436,7.31817782164213e-07
Rct2,192.313876361053,0.140151328850598
Cdl2,1.92588670067704e-05,3.78879732813911e-08
