Index,Frequency (Hz) ,DFT Cal,DFT Mag,Rz (Ohms),R_real,R_img,R_phase
426,5.44,413.011,517.264,7984.52832,6589.501,4509.0098,-0.6001
425,5.57,414.005,431.543,9593.602539,8358.418,4708.9341,-0.5131
424,5.7,413.011,438.634,9415.837891,8209.7715,4610.6016,-0.5117
423,5.83,412.005,440.868,9345.300781,8160.2134,4554.729,-0.5091
422,5.97,413.001,450.531,9166.992188,8067.2793,4353.4766,-0.4949
421,6.11,413.005,456.216,9052.836914,7876.1182,4463.252,-0.5156
420,6.25,413.005,458.118,9015.25293,7929.5952,4289.0913,-0.4958
419,6.39,413.011,461.299,8953.209961,7848.8418,4307.627,-0.5019
418,6.54,412.005,459,8976.140625,7899.5264,4262.4619,-0.4948
417,6.7,413.005,465.124,8879.463867,7883.7944,4085.4214,-0.4781
416,6.85,413.005,467.941,8825.998047,7769.5474,4187.168,-0.4943
415,7.01,414.005,476,8697.580078,7654.4731,4130.0044,-0.4948
414,7.18,413.005,471.816,8753.522461,7791.5195,3989.533,-0.4732
413,7.34,413.011,450.348,9170.93457,8156.1333,4193.2715,-0.4749
412,7.51,412.005,451.253,9130.24707,8113.481,4187.2227,-0.4764
411,7.69,413.005,453.927,9098.479492,8138.2666,4068.2847,-0.4636
410,7.87,413.005,456.18,9053.554688,8117.7324,4008.6499,-0.4587
409,8.05,413.011,458.394,9009.955078,8029.2686,4087.8035,-0.4709
408,8.24,413.011,467.799,8828.80957,7898.2446,3945.3284,-0.4633
407,8.43,413.011,443.191,9319.033203,8317.4668,4202.8726,-0.4679
406,8.63,413.011,744.695,5546.043945,4979.6055,2441.7478,-0.4559
405,8.83,413.011,685.607,6024.017578,5393.0693,2683.9504,-0.4618
404,9.04,413.019,756.849,5457.088379,4953.1362,2290.4709,-0.4331
403,9.25,411.011,747.011,5502.076172,5051.6558,2180.2788,-0.4074
402,9.46,415.005,726.257,5714.29834,5245.0566,2267.7263,-0.4081
401,9.68,413.03,656.247,6293.824219,6140.9463,1378.7675,-0.2209
