56,49535.3594,1273.62,2728.31,235.043457,-61.1243,-226.9565,1.8339
55,39194.0586,1012.63,3001.32,220.076431,219.5789,-14.7894,0.0673
54,31011.7051,5961.11,3191.62,99.301254,-83.5606,53.6504,-2.5708
53,24537.5156,1163.62,3320.53,268.107849,75.7862,-257.1736,1.2842
52,19414.916,43421.84,3287.58,103.20871,-103.1456,-3.6077,3.1066
51,15361.7422,2298.53,3383.76,98.028793,22.288,95.4615,-1.3414
50,12154.7461,940.97,3445.61,328.495728,211.0573,-251.7226,0.873
49,9617.248,1983.3,3485.3,168.012009,-14.0958,-167.4197,1.6548
48,7609.4937,5900.08,3510.43,124.096352,-104.8168,-66.433,2.5767
47,6020.897,19574.86,3525.64,105.013847,-102.9899,20.5181,-2.9449
46,4763.9385,4933.98,3535.13,119.293282,-92.0128,75.9245,-2.4517
45,3769.3899,3066.19,3542,138.555084,-69.3772,119.9347,-2.0952
44,2982.4727,2465.57,3544.94,127.974045,-14.2025,127.1835,-1.682
43,2359.8337,1848.81,3546.65,148.863083,46.1472,141.5297,-1.2556
42,1867.1808,1526.92,3547.26,171.419006,104.2395,136.0831,-0.9171
41,1477.3768,1339.73,3547.9,219.955856,113.1557,188.617,-1.0304
40,1168.9521,1389.95,3551.57,217.209579,106.8643,189.1032,-1.0564
39,924.9146,1094.77,3549.65,285.769989,169.9402,229.7495,-0.9339
38,731.8243,1331.01,3552.02,200.841721,164.2498,115.5829,-0.6132
37,579.0443,1267.97,3551.59,232.703522,140.7,185.3495,-0.9215
36,458.1598,1200.68,3552.72,248.074905,141.3865,203.8407,-0.9644
35,362.5118,1011.92,3551.96,304.723633,217.1723,213.7585,-0.7775
34,286.8316,974.98,3553.89,326.532562,206.7229,252.7631,-0.8853
33,226.9511,910.42,3553.17,374.83252,203.0621,315.0638,-0.9983
32,179.5714,795.7,3552.73,436.887238,203.659,386.5145,-1.0859
31,142.0831,705.77,3552.46,496.022583,266.977,418.0451,-1.0025
30,112.421,611.01,3552.29,572.781921,268.2988,506.0582,-1.0833
29,88.9513,567.17,3550.98,651.354431,251.2775,600.9344,-1.1747
28,70.3814,460.65,3551.21,817.556763,294.6802,762.6025,-1.2021
27,55.6882,369.61,3550.88,991.186951,483.0534,865.512,-1.0617
26,44.0624,2421.06,18149.48,753.873779,511.5805,553.7248,-0.8249
25,34.8637,2184.77,18147.71,850.0755,561.0508,638.6315,-0.85
24,27.5853,1934.63,18154,966.65271,627.4398,735.348,-0.8644
23,21.8264,1612.66,18149.15,1173.880615,776.4621,880.3989,-0.848
22,17.2698,1367.69,18151.89,1404.58252,935.5792,1047.6371,-0.8418
21,13.6645,1172.41,18151.21,1652.53833,1083.1683,1248.0502,-0.856
20,10.8118,1030.99,18143.81,1866.851929,1302.9852,1336.9238,-0.7983
19,8.5547,494.23,36841.93,8323.210938,-424.2932,8312.3896,-1.6218
18,6.7688,379.33,36847.56,10866.18262,-2816.2898,10494.876,-1.833
17,5.3557,333.81,36853.34,12375.70703,-3395.0256,11900.9209,-1.8487
16,4.2376,750.18,73069.55,10965.43164,-10925.7109,932.4891,-3.0565
15,3.3529,773.98,73059.02,10631.26856,-10557.0498,1254.0239,-3.0234
14,2.6529,615.42,73079.56,13340.55469,-13091.6211,2565.1213,-2.9481
13,2.0991,717.15,73046.52,11464.82715,-11362.2021,1530.5662,-3.0077
12,1.6609,758.15,73077.8,10851.42969,-10825.1182,755.2153,-3.0719
11,1.3141,819.2,73059.59,10063.44531,-10061.5635,194.6096,-3.1223
10,1.0398,873.15,73051.39,9437.212891,-9436.5234,114.0402,-3.1295
9,0.8227,1246.08,126385.95,12744.34863,-12742.9414,-189.3779,3.1267
8,0.651,1251.29,126175.15,12697.99805,-12694.4873,-298.5797,3.1181
7,0.5151,1261.33,126512.71,12580.69531,-12576.1719,-337.339,3.1148
6,0.4075,1442.07,70.23,444674.5938,128841.9922,425599.8438,-1.2768
5,0.3225,1350.48,126.25,254487.9688,-41217.0352,251128.0156,-1.7335
4,0.2551,1332.94,263.28,143174.8594,-134636.2656,48704.3555,-2.7945
3,0.2019,1325.91,524.14,84332.46094,-83727.3281,-10084.5488,3.0217
2,0.1597,1330.54,892.72,46144.71484,-30991.6387,-34188.4922,2.3072
1,0.1264,1454,1165.07,10543.74023,3444.335,9965.291,-1.238
0,0.1,1629.05,3489.11,56865.05469,-54062.9609,-17630.3867,2.8264
